"Year","Variable","Value","WaterUser","State"
2000,"Diversion",111,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2001,"Diversion",104,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2002,"Diversion",121,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2003,"Diversion",154,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2004,"Diversion",69,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2005,"Diversion",70,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2006,"Diversion",92,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2007,"Diversion",97,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2008,"Diversion",113,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2009,"Diversion",123,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2010,"Diversion",95,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2011,"Diversion",128,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2012,"Diversion",180,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2013,"Diversion",123,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2014,"Diversion",170,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2000,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2001,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2002,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2003,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2004,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2005,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2006,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2007,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2008,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2009,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2010,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2011,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2012,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2013,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2014,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2000,"ConsumptiveUse",111,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2001,"ConsumptiveUse",104,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2002,"ConsumptiveUse",121,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2003,"ConsumptiveUse",154,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2004,"ConsumptiveUse",69,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2005,"ConsumptiveUse",70,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2006,"ConsumptiveUse",92,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2007,"ConsumptiveUse",97,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2008,"ConsumptiveUse",113,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2009,"ConsumptiveUse",123,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2010,"ConsumptiveUse",95,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2011,"ConsumptiveUse",128,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2012,"ConsumptiveUse",180,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2013,"ConsumptiveUse",123,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2014,"ConsumptiveUse",170,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2000,"Diversion",944,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2001,"Diversion",952,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2002,"Diversion",322,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2003,"Diversion",245,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2004,"Diversion",213,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2005,"Diversion",191,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2006,"Diversion",226,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2007,"Diversion",188,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2008,"Diversion",182,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2009,"Diversion",169,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2010,"Diversion",162,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2011,"Diversion",177,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2012,"Diversion",173,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2013,"Diversion",182,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2014,"Diversion",192,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2000,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2001,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2002,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2003,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2004,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2005,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2006,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2007,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2008,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2009,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2010,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2011,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2012,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2013,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2014,"ReturnFlow",0,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2000,"ConsumptiveUse",944,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2001,"ConsumptiveUse",952,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2002,"ConsumptiveUse",322,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2003,"ConsumptiveUse",245,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2004,"ConsumptiveUse",213,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2005,"ConsumptiveUse",191,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2006,"ConsumptiveUse",226,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2007,"ConsumptiveUse",188,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2008,"ConsumptiveUse",182,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2009,"ConsumptiveUse",169,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2010,"ConsumptiveUse",162,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2011,"ConsumptiveUse",177,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2012,"ConsumptiveUse",173,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2013,"ConsumptiveUse",182,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2014,"ConsumptiveUse",192,"LAKE MEAD NAT'L RECREATION, AZ.","AZ"
2000,"Diversion",26,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2001,"Diversion",27.3,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2002,"Diversion",21.8,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2003,"Diversion",54.91,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2004,"Diversion",46,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2005,"Diversion",18,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2006,"Diversion",44,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2007,"Diversion",115,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2008,"Diversion",48,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2009,"Diversion",141,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2010,"Diversion",68,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2011,"Diversion",90,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2012,"Diversion",84,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2013,"Diversion",51,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2014,"Diversion",31,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2000,"ReturnFlow",0,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2001,"ReturnFlow",26.8,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2002,"ReturnFlow",21.8,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2003,"ReturnFlow",54.53,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2004,"ReturnFlow",46,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2005,"ReturnFlow",0,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2006,"ReturnFlow",43,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2007,"ReturnFlow",114,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2008,"ReturnFlow",46,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2009,"ReturnFlow",139,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2010,"ReturnFlow",66,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2011,"ReturnFlow",87,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2012,"ReturnFlow",83,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2013,"ReturnFlow",50,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2014,"ReturnFlow",30,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
2000,"ConsumptiveUse",26,"LOWER COLORADO RIVER DAMS PROJECT","AZ"
