Object.Name,Slot.Name,units,Timestep,Value,Model,RunType
Mead,Pool Elevation,ft,1/31/2016,1084.86,December 2015 Most Probable,0
Mead,Pool Elevation,ft,1/31/2017,1079.06,December 2015 Most Probable,0
Mead,Pool Elevation,ft,10/31/2016,1074.49,December 2015 Most Probable,0
Mead,Pool Elevation,ft,10/31/2017,1070.72,December 2015 Most Probable,0
Mead,Pool Elevation,ft,11/30/2015,1078.23,December 2015 Most Probable,0
Mead,Pool Elevation,ft,11/30/2016,1074.14,December 2015 Most Probable,0
Mead,Pool Elevation,ft,11/30/2017,1070.33,December 2015 Most Probable,0
Mead,Pool Elevation,ft,12/31/2015,1082,December 2015 Most Probable,0
Mead,Pool Elevation,ft,12/31/2016,1077.52,December 2015 Most Probable,0
Mead,Pool Elevation,ft,2/28/2017,1079.8,December 2015 Most Probable,0
Mead,Pool Elevation,ft,2/29/2016,1086.77,December 2015 Most Probable,0
Mead,Pool Elevation,ft,3/31/2016,1082.8,December 2015 Most Probable,0
Mead,Pool Elevation,ft,3/31/2017,1075.69,December 2015 Most Probable,0
Mead,Pool Elevation,ft,4/30/2016,1077.24,December 2015 Most Probable,0
Mead,Pool Elevation,ft,4/30/2017,1070.08,December 2015 Most Probable,0
Mead,Pool Elevation,ft,5/31/2016,1073.36,December 2015 Most Probable,0
Mead,Pool Elevation,ft,5/31/2017,1065.59,December 2015 Most Probable,0
Mead,Pool Elevation,ft,6/30/2016,1071.06,December 2015 Most Probable,0
Mead,Pool Elevation,ft,6/30/2017,1063.31,December 2015 Most Probable,0
Mead,Pool Elevation,ft,7/31/2016,1071.44,December 2015 Most Probable,0
Mead,Pool Elevation,ft,7/31/2017,1064.44,December 2015 Most Probable,0
Mead,Pool Elevation,ft,8/31/2016,1073.01,December 2015 Most Probable,0
Mead,Pool Elevation,ft,8/31/2017,1068,December 2015 Most Probable,0
Mead,Pool Elevation,ft,9/30/2016,1073.14,December 2015 Most Probable,0
Mead,Pool Elevation,ft,9/30/2017,1069.37,December 2015 Most Probable,0
Mead,Pool Elevation,ft,1/31/2016,1081.83,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,1/31/2017,1072,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,10/31/2016,1071.12,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,11/30/2015,1078.23,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,11/30/2016,1069.47,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,12/31/2015,1080.35,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,12/31/2016,1070.16,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,2/28/2017,1072.53,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,2/29/2016,1082.5,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,3/31/2016,1078.31,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,3/31/2017,1067.96,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,4/30/2016,1072.31,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,4/30/2017,1060.9,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,5/31/2016,1067.55,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,5/31/2017,1055.59,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,6/30/2016,1065.11,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,6/30/2017,1050.81,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,7/31/2016,1066.07,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,7/31/2017,1049.78,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,8/31/2016,1069.72,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,8/31/2017,1050.79,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,9/30/2016,1071.15,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,9/30/2017,1050.03,October 2015 Probable Minimum,1
Mead,Pool Elevation,ft,1/31/2016,1084.79,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,1/31/2017,1110.88,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,10/31/2016,1106.42,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,11/30/2015,1078.23,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,11/30/2016,1106.36,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,12/31/2015,1082.83,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,12/31/2016,1109.37,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,2/28/2017,1111.7,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,2/29/2016,1085.82,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,3/31/2016,1082.18,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,3/31/2017,1108.31,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,4/30/2016,1080.87,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,4/30/2017,1108.17,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,5/31/2016,1082.88,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,5/31/2017,1110.34,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,6/30/2016,1086.48,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,6/30/2017,1112.51,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,7/31/2016,1092.2,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,7/31/2017,1117.87,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,8/31/2016,1099.27,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,8/31/2017,1124.53,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,9/30/2016,1105,October 2015 Probable Maximum,2
Mead,Pool Elevation,ft,9/30/2017,1129.82,October 2015 Probable Maximum,2
