Object.Name,Slot.Name,units,Timestep,Value,Model
Mead,Pool Elevation,ft,1/31/2000,1214.26,Historical
Mead,Pool Elevation,ft,2/29/2000,1213.79,Historical
Mead,Pool Elevation,ft,3/31/2000,1211.33,Historical
Mead,Pool Elevation,ft,4/30/2000,1208.78,Historical
Mead,Pool Elevation,ft,5/31/2000,1207.67,Historical
Mead,Pool Elevation,ft,6/30/2000,1204.09,Historical
Mead,Pool Elevation,ft,7/31/2000,1199.97,Historical
Mead,Pool Elevation,ft,8/31/2000,1196.66,Historical
Mead,Pool Elevation,ft,9/30/2000,1196.72,Historical
Mead,Pool Elevation,ft,10/31/2000,1196.66,Historical
Mead,Pool Elevation,ft,11/30/2000,1196.45,Historical
Mead,Pool Elevation,ft,12/31/2000,1196.12,Historical
Mead,Pool Elevation,ft,1/31/2001,1197.27,Historical
Mead,Pool Elevation,ft,2/28/2001,1196.62,Historical
Mead,Pool Elevation,ft,3/31/2001,1194.68,Historical
Mead,Pool Elevation,ft,4/30/2001,1190.76,Historical
Mead,Pool Elevation,ft,5/31/2001,1187.32,Historical
Mead,Pool Elevation,ft,6/30/2001,1183.12,Historical
Mead,Pool Elevation,ft,7/31/2001,1180.78,Historical
Mead,Pool Elevation,ft,8/31/2001,1179.97,Historical
Mead,Pool Elevation,ft,9/30/2001,1177.96,Historical
Mead,Pool Elevation,ft,10/31/2001,1178.03,Historical
Mead,Pool Elevation,ft,11/30/2001,1177.22,Historical
Mead,Pool Elevation,ft,12/31/2001,1177.37,Historical
Mead,Pool Elevation,ft,1/31/2002,1177.94,Historical
Mead,Pool Elevation,ft,2/28/2002,1176.5,Historical
Mead,Pool Elevation,ft,3/31/2002,1172.06,Historical
Mead,Pool Elevation,ft,4/30/2002,1167.49,Historical
Mead,Pool Elevation,ft,5/31/2002,1162.39,Historical
Mead,Pool Elevation,ft,6/30/2002,1159.19,Historical
Mead,Pool Elevation,ft,7/31/2002,1157.57,Historical
Mead,Pool Elevation,ft,8/31/2002,1156.42,Historical
Mead,Pool Elevation,ft,9/30/2002,1155.42,Historical
Mead,Pool Elevation,ft,10/31/2002,1154.89,Historical
Mead,Pool Elevation,ft,11/30/2002,1153.3,Historical
Mead,Pool Elevation,ft,12/31/2002,1152.13,Historical
Mead,Pool Elevation,ft,1/31/2003,1153.33,Historical
Mead,Pool Elevation,ft,2/28/2003,1154.42,Historical
Mead,Pool Elevation,ft,3/31/2003,1153.09,Historical
Mead,Pool Elevation,ft,4/30/2003,1148.27,Historical
Mead,Pool Elevation,ft,5/31/2003,1144.68,Historical
Mead,Pool Elevation,ft,6/30/2003,1143.19,Historical
Mead,Pool Elevation,ft,7/31/2003,1141.93,Historical
Mead,Pool Elevation,ft,8/31/2003,1143.27,Historical
Mead,Pool Elevation,ft,9/30/2003,1142.12,Historical
Mead,Pool Elevation,ft,10/31/2003,1141.17,Historical
Mead,Pool Elevation,ft,11/30/2003,1139.48,Historical
Mead,Pool Elevation,ft,12/31/2003,1139.12,Historical
Mead,Pool Elevation,ft,1/31/2004,1140.39,Historical
Mead,Pool Elevation,ft,2/29/2004,1140.11,Historical
Mead,Pool Elevation,ft,3/31/2004,1138.7,Historical
Mead,Pool Elevation,ft,4/30/2004,1134.98,Historical
Mead,Pool Elevation,ft,5/31/2004,1129.7,Historical
Mead,Pool Elevation,ft,6/30/2004,1126.93,Historical
Mead,Pool Elevation,ft,7/31/2004,1125.73,Historical
Mead,Pool Elevation,ft,8/31/2004,1126.67,Historical
Mead,Pool Elevation,ft,9/30/2004,1125.86,Historical
Mead,Pool Elevation,ft,10/31/2004,1127.43,Historical
Mead,Pool Elevation,ft,11/30/2004,1130.13,Historical
Mead,Pool Elevation,ft,12/31/2004,1130.01,Historical
Mead,Pool Elevation,ft,1/31/2005,1137.4,Historical
Mead,Pool Elevation,ft,2/28/2005,1143.25,Historical
Mead,Pool Elevation,ft,3/31/2005,1147.66,Historical
Mead,Pool Elevation,ft,4/30/2005,1144.45,Historical
Mead,Pool Elevation,ft,5/31/2005,1141.89,Historical
Mead,Pool Elevation,ft,6/30/2005,1140.46,Historical
Mead,Pool Elevation,ft,7/31/2005,1139.01,Historical
Mead,Pool Elevation,ft,8/31/2005,1139.61,Historical
Mead,Pool Elevation,ft,9/30/2005,1138.36,Historical
Mead,Pool Elevation,ft,10/31/2005,1137.01,Historical
Mead,Pool Elevation,ft,11/30/2005,1135.27,Historical
Mead,Pool Elevation,ft,12/31/2005,1137.52,Historical
Mead,Pool Elevation,ft,1/31/2006,1139.46,Historical
Mead,Pool Elevation,ft,2/28/2006,1141.2,Historical
Mead,Pool Elevation,ft,3/31/2006,1139.48,Historical
Mead,Pool Elevation,ft,4/30/2006,1135.94,Historical
Mead,Pool Elevation,ft,5/31/2006,1131.14,Historical
Mead,Pool Elevation,ft,6/30/2006,1128.26,Historical
Mead,Pool Elevation,ft,7/31/2006,1126.42,Historical
Mead,Pool Elevation,ft,8/31/2006,1126.54,Historical
Mead,Pool Elevation,ft,9/30/2006,1125.36,Historical
Mead,Pool Elevation,ft,10/31/2006,1126.13,Historical
Mead,Pool Elevation,ft,11/30/2006,1126.63,Historical
Mead,Pool Elevation,ft,12/31/2006,1128.12,Historical
Mead,Pool Elevation,ft,1/31/2007,1129.55,Historical
Mead,Pool Elevation,ft,2/28/2007,1129.35,Historical
Mead,Pool Elevation,ft,3/31/2007,1125.79,Historical
Mead,Pool Elevation,ft,4/30/2007,1120.69,Historical
Mead,Pool Elevation,ft,5/31/2007,1115.89,Historical
Mead,Pool Elevation,ft,6/30/2007,1113.5,Historical
Mead,Pool Elevation,ft,7/31/2007,1111.58,Historical
Mead,Pool Elevation,ft,8/31/2007,1111.84,Historical
Mead,Pool Elevation,ft,9/30/2007,1111.06,Historical
Mead,Pool Elevation,ft,10/31/2007,1110.95,Historical
Mead,Pool Elevation,ft,11/30/2007,1111.22,Historical
Mead,Pool Elevation,ft,12/31/2007,1114.81,Historical
Mead,Pool Elevation,ft,1/31/2008,1116.46,Historical
Mead,Pool Elevation,ft,2/29/2008,1116.93,Historical
Mead,Pool Elevation,ft,3/31/2008,1115.65,Historical
Mead,Pool Elevation,ft,4/30/2008,1110.61,Historical
Mead,Pool Elevation,ft,5/31/2008,1107.05,Historical
Mead,Pool Elevation,ft,6/30/2008,1104.98,Historical
Mead,Pool Elevation,ft,7/31/2008,1104.42,Historical
Mead,Pool Elevation,ft,8/31/2008,1105.13,Historical
Mead,Pool Elevation,ft,9/30/2008,1105.76,Historical
Mead,Pool Elevation,ft,10/31/2008,1107.94,Historical
Mead,Pool Elevation,ft,11/30/2008,1107.33,Historical
Mead,Pool Elevation,ft,12/31/2008,1110.97,Historical
Mead,Pool Elevation,ft,1/31/2009,1111.78,Historical
Mead,Pool Elevation,ft,2/28/2009,1111.43,Historical
Mead,Pool Elevation,ft,3/31/2009,1107.4,Historical
Mead,Pool Elevation,ft,4/30/2009,1101.26,Historical
Mead,Pool Elevation,ft,5/31/2009,1096.92,Historical
Mead,Pool Elevation,ft,6/30/2009,1095.26,Historical
Mead,Pool Elevation,ft,7/31/2009,1094.2,Historical
Mead,Pool Elevation,ft,8/31/2009,1093.73,Historical
Mead,Pool Elevation,ft,9/30/2009,1093.68,Historical
Mead,Pool Elevation,ft,10/31/2009,1093.26,Historical
Mead,Pool Elevation,ft,11/30/2009,1093.52,Historical
Mead,Pool Elevation,ft,12/31/2009,1096.3,Historical
Mead,Pool Elevation,ft,1/31/2010,1100.02,Historical
Mead,Pool Elevation,ft,2/28/2010,1103.21,Historical
Mead,Pool Elevation,ft,3/31/2010,1100.66,Historical
Mead,Pool Elevation,ft,4/30/2010,1098,Historical
Mead,Pool Elevation,ft,5/31/2010,1094.3,Historical
Mead,Pool Elevation,ft,6/30/2010,1089.3,Historical
Mead,Pool Elevation,ft,7/31/2010,1086.97,Historical
Mead,Pool Elevation,ft,8/31/2010,1086.91,Historical
Mead,Pool Elevation,ft,9/30/2010,1083.81,Historical
Mead,Pool Elevation,ft,10/31/2010,1082.36,Historical
Mead,Pool Elevation,ft,11/30/2010,1081.94,Historical
Mead,Pool Elevation,ft,12/31/2010,1086.3,Historical
Mead,Pool Elevation,ft,1/31/2011,1091.73,Historical
Mead,Pool Elevation,ft,2/28/2011,1095.78,Historical
Mead,Pool Elevation,ft,3/31/2011,1096.39,Historical
Mead,Pool Elevation,ft,4/30/2011,1095.76,Historical
Mead,Pool Elevation,ft,5/31/2011,1097.9,Historical
Mead,Pool Elevation,ft,6/30/2011,1102.38,Historical
Mead,Pool Elevation,ft,7/31/2011,1107.07,Historical
Mead,Pool Elevation,ft,8/31/2011,1113.45,Historical
Mead,Pool Elevation,ft,9/30/2011,1116.04,Historical
Mead,Pool Elevation,ft,10/31/2011,1121,Historical
Mead,Pool Elevation,ft,11/30/2011,1125.82,Historical
Mead,Pool Elevation,ft,12/31/2011,1132.83,Historical
Mead,Pool Elevation,ft,1/31/2012,1134.18,Historical
Mead,Pool Elevation,ft,2/29/2012,1133.06,Historical
Mead,Pool Elevation,ft,3/31/2012,1129.41,Historical
Mead,Pool Elevation,ft,4/30/2012,1123.93,Historical
Mead,Pool Elevation,ft,5/31/2012,1119.38,Historical
Mead,Pool Elevation,ft,6/30/2012,1115.84,Historical
Mead,Pool Elevation,ft,7/31/2012,1115.92,Historical
Mead,Pool Elevation,ft,8/31/2012,1116.56,Historical
Mead,Pool Elevation,ft,9/30/2012,1115.16,Historical
Mead,Pool Elevation,ft,10/31/2012,1116.5,Historical
Mead,Pool Elevation,ft,11/30/2012,1117.24,Historical
Mead,Pool Elevation,ft,12/31/2012,1120.36,Historical
Mead,Pool Elevation,ft,1/31/2013,1122.32,Historical
Mead,Pool Elevation,ft,2/28/2013,1122.14,Historical
Mead,Pool Elevation,ft,3/31/2013,1118.59,Historical
Mead,Pool Elevation,ft,4/30/2013,1112.91,Historical
Mead,Pool Elevation,ft,5/31/2013,1108.36,Historical
Mead,Pool Elevation,ft,6/30/2013,1105.98,Historical
Mead,Pool Elevation,ft,7/31/2013,1105.92,Historical
Mead,Pool Elevation,ft,8/31/2013,1106.13,Historical
Mead,Pool Elevation,ft,9/30/2013,1106.92,Historical
Mead,Pool Elevation,ft,10/31/2013,1104.04,Historical
Mead,Pool Elevation,ft,11/30/2013,1106.36,Historical
Mead,Pool Elevation,ft,12/31/2013,1106.73,Historical
Mead,Pool Elevation,ft,1/31/2014,1108.75,Historical
Mead,Pool Elevation,ft,2/28/2014,1107.94,Historical
Mead,Pool Elevation,ft,3/31/2014,1101.71,Historical
Mead,Pool Elevation,ft,4/30/2014,1094.55,Historical
Mead,Pool Elevation,ft,5/31/2014,1087.46,Historical
Mead,Pool Elevation,ft,6/30/2014,1082.66,Historical
Mead,Pool Elevation,ft,7/31/2014,1080.6,Historical
Mead,Pool Elevation,ft,8/31/2014,1081.55,Historical
Mead,Pool Elevation,ft,9/30/2014,1081.33,Historical
Mead,Pool Elevation,ft,10/31/2014,1082.79,Historical
Mead,Pool Elevation,ft,11/30/2014,1083.57,Historical
Mead,Pool Elevation,ft,12/31/2014,1087.79,Historical
Mead,Pool Elevation,ft,1/31/2015,1088.51,Historical
Mead,Pool Elevation,ft,2/28/2015,1088.98,Historical
Mead,Pool Elevation,ft,3/31/2015,1084.87,Historical
Mead,Pool Elevation,ft,4/30/2015,1079.03,Historical
Mead,Pool Elevation,ft,5/31/2015,1076.57,Historical
Mead,Pool Elevation,ft,6/30/2015,1075.08,Historical
Mead,Pool Elevation,ft,7/31/2015,1078.15,Historical
Mead,Pool Elevation,ft,8/31/2015,1078.31,Historical
Mead,Pool Elevation,ft,9/30/2015,1078.1,Historical
