Year,Natural Flow above Lees Ferry,Natural Flow above Imperial
1906,18723760,19771732
1907,20892589,22634198
1908,11711022,13427075
1909,22198132,24083091
1910,14596645,16503660
1911,15650022,16973085
1912,18623405,19649436
1913,14536380,15545215
1914,21354813,22579571
1915,13623272,14651173
1916,20142885,22272741
1917,22942804,24322430
1918,15865937,17166991
1919,12651367,14737400
1920,22287631,24022813
1921,22526783,24584038
1922,18447196,20304424
1923,19024047,21316754
1924,13877797,15970335
1925,14430703,15889120
1926,15213730,16215310
1927,19539212,21280894
1928,16954335,17362020
1929,21829584,22304336
1930,14621040,15576738
1931,8474133,9817586
1932,17422186,19566120
1933,12183502,13308111
1934,6178190,7267780
1935,12630349,13066718
1936,14648871,15034652
1937,14306056,15330228
1938,18148319,18866277
1939,11164062,12503804
1940,9931656,11065645
1941,20116677,22416928
1942,17225136,18268267
1943,13731401,14469260
1944,15369422,16305862
1945,14140528,15264683
1946,11095455,12066062
1947,16439485,17538706
1948,15139293,15887439
1949,16933581,18125819
1950,13140416,14039544
1951,12505894,13396575
1952,20805422,22447681
1953,11165419,12330658
1954,8496102,9593686
1955,9413908,11130852
1956,11426874,12421159
1957,21500963,22733137
1958,15862511,17587438
1959,9598169,10897446
1960,11524160,12849384
1961,10010259,11157745
1962,17377609,18221012
1963,8669081,9593520
1964,10377070,11200100
1965,19522695,21455600
1966,10225351,11824088
1967,11570223,12849039
1968,13628611,14838275
1969,15005531,16451615
1970,14948498,16067364
1971,14985237,15914205
1972,13116388,14069671
1973,18157689,19751294
1974,12920858,13671921
1975,16534721,17231710
1976,11042444,11959659
1977,5360698,6257132
1978,15137176,16752459
1979,17433968,19411461
1980,17439182,19650615
1981,8897463,10070948
1982,17308057,18631696
1983,23585514,25360796
1984,24344044,25980280
1985,20993881,22479424
1986,22945803,23873407
1987,15274689,16859717
1988,11142853,12643560
1989,9433929,10684157
1990,9320164,10466770
1991,12296842,13676570
1992,10916518,12812787
1993,18881834,22036855
1994,10539117,11602639
1995,19970938,22021359
1996,14195216,15195957
1997,21660882,22663055
1998,16694679,18016105
1999,15829790,16948083
2000,10508972,11384385
2001,10716116,11773055
2002,6028775,6771912
2003,10504158,11423889
2004,9901390,11120900
2005,17079729,19630432
2006,13519526,14367855
2007,11383343,12304220
2008,16085488,17218854
2009,14097803,14910600
2010,12717412,13952778
2011,20137929,21146475
2012,7546843,8412309
2013,9851000,
2014,14413000,
2015,14268000,
