"Year","Gage16YrRunMean","FlowGage","below_mean","drought_length","HistoricalPercentile"
1906,NA,18.72376,NA,NA,87.2727272727273
1907,NA,20.892589,NA,NA,88.1818181818182
1908,NA,11.711022,NA,NA,89.0909090909091
1909,NA,22.198132,NA,NA,90
1910,NA,14.596645,NA,NA,90.9090909090909
1911,NA,15.650022,NA,NA,91.8181818181818
1912,NA,18.623405,NA,NA,92.7272727272727
1913,NA,14.53638,NA,NA,93.6363636363636
1914,NA,21.354813,NA,NA,94.5454545454545
1915,NA,13.623272,NA,NA,95.4545454545455
1916,NA,20.142885,NA,NA,96.3636363636364
1917,NA,22.942804,NA,NA,97.2727272727273
1918,NA,15.865937,NA,NA,98.1818181818182
1919,NA,12.651367,NA,NA,99.0909090909091
1920,NA,22.287631,NA,NA,100
1921,18.0204654375,22.526783,FALSE,0,84.5454545454545
1922,18.0031801875,18.447196,FALSE,0,83.6363636363636
1923,17.8863963125,19.024047,FALSE,0,82.7272727272727
1924,18.02181975,13.877797,FALSE,0,85.4545454545455
1925,17.5363554375,14.430703,FALSE,0,78.1818181818182
1926,17.57492325,15.21373,FALSE,0,79.0909090909091
1927,17.817997625,19.539212,FALSE,0,81.8181818181818
1928,17.71368075,16.954335,FALSE,0,80
1929,18.169506,21.829584,FALSE,0,86.3636363636364
1930,17.7486451875,14.62104,FALSE,0,80.9090909090909
1931,17.426824,8.474133,FALSE,0,77.2727272727273
1932,17.2567803125,17.422186,FALSE,0,76.3636363636364
1933,16.5843239375,12.183502,FALSE,0,75.4545454545455
1934,15.97883975,6.17819,FALSE,0,70
1935,15.977526125,12.630349,FALSE,0,69.0909090909091
1936,15.500103625,14.648871,FALSE,0,61.8181818181818
1937,14.9863081875,14.306056,FALSE,0,55.4545454545455
1938,14.967628375,18.148319,FALSE,0,54.5454545454545
1939,14.4763793125,11.164062,TRUE,1,48.1818181818182
1940,14.2297455,9.931656,TRUE,2,43.6363636363636
1941,14.585118875,20.116677,TRUE,3,49.0909090909091
1942,14.71083175,17.225136,TRUE,4,51.8181818181818
1943,14.3478435625,13.731401,TRUE,5,46.3636363636364
1944,14.2487865,15.369422,TRUE,6,44.5454545454545
1945,13.7682205,14.140528,TRUE,7,30
1946,13.5478714375,11.095455,TRUE,8,21.8181818181818
1947,14.0457059375,16.439485,TRUE,9,37.2727272727273
1948,13.903025125,15.139293,TRUE,10,33.6363636363636
1949,14.1999050625,16.933581,TRUE,11,41.8181818181818
1950,14.6350441875,13.140416,TRUE,12,50.9090909090909
1951,14.62726575,12.505894,TRUE,13,50
1952,15.0120501875,20.805422,FALSE,0,56.3636363636364
1953,14.815760375,11.165419,FALSE,0,53.6363636363636
1954,14.2124968125,8.496102,TRUE,1,42.7272727272727
1955,14.1031121875,9.413908,TRUE,2,38.1818181818182
1956,14.1965633125,11.426874,TRUE,3,40
1957,14.2830811875,21.500963,TRUE,4,45.4545454545455
1958,14.197917125,15.862511,TRUE,5,40.9090909090909
1959,13.939590125,9.598169,TRUE,6,34.5454545454545
1960,13.69926125,11.52416,TRUE,7,27.2727272727273
1961,13.4411194375,10.010259,TRUE,8,19.0909090909091
1962,13.8337540625,17.377609,TRUE,9,32.7272727272727
1963,13.3481038125,8.669081,TRUE,10,15.4545454545455
1964,13.050464875,10.37707,TRUE,11,9.09090909090909
1965,13.2122845,19.522695,TRUE,12,11.8181818181818
1966,13.0300929375,10.225351,TRUE,13,7.27272727272727
1967,12.9716135,11.570223,TRUE,14,6.36363636363636
1968,12.5230628125,13.628611,TRUE,15,2.72727272727273
1969,12.7630698125,15.005531,TRUE,16,4.54545454545455
1970,13.1663445625,14.948498,TRUE,17,10
1971,13.514552625,14.985237,TRUE,18,20
1972,13.62014725,13.116388,TRUE,19,22.7272727272727
1973,13.411192625,18.157689,TRUE,20,17.2727272727273
1974,13.2273393125,12.920858,TRUE,21,12.7272727272727
1975,13.6608738125,16.534721,TRUE,22,25.4545454545455
1976,13.6307665625,11.042444,TRUE,23,23.6363636363636
1977,13.340169,5.360698,TRUE,24,14.5454545454545
1978,13.2001419375,15.137176,TRUE,25,10.9090909090909
1979,13.747947375,17.433968,TRUE,26,29.0909090909091
1980,14.189329375,17.439182,TRUE,27,39.0909090909091
1981,13.525252375,8.897463,TRUE,28,20.9090909090909
1982,13.9679215,17.308057,TRUE,29,35.4545454545455
1983,14.7188771875,23.585514,TRUE,30,52.7272727272727
1984,15.38859175,24.344044,FALSE,0,60.9090909090909
1985,15.762863625,20.993881,FALSE,0,65.4545454545455
1986,16.2626951875,22.945803,FALSE,0,71.8181818181818
1987,16.2807859375,15.274689,FALSE,0,72.7272727272727
1988,16.15744,11.142853,FALSE,0,70.9090909090909
1989,15.612205,9.433929,FALSE,0,62.7272727272727
1990,15.387161625,9.320164,FALSE,0,60
1991,15.1222941875,12.296842,FALSE,0,59.0909090909091
1992,15.1144238125,10.916518,FALSE,0,58.1818181818182
1993,15.9594948125,18.881834,FALSE,0,68.1818181818182
1994,15.672116125,10.539117,FALSE,0,64.5454545454545
1995,15.83067675,19.970938,FALSE,0,66.3636363636364
1996,15.627928875,14.195216,FALSE,0,63.6363636363636
1997,16.4256425625,21.660882,FALSE,0,74.5454545454545
1998,16.3873064375,16.694679,FALSE,0,73.6363636363636
1999,15.9025736875,15.82979,FALSE,0,67.2727272727273
2000,15.0378816875,10.508972,FALSE,0,57.2727272727273
2001,14.395521375,10.716116,TRUE,1,47.2727272727273
2002,13.338207125,6.028775,TRUE,2,13.6363636363636
2003,13.0400489375,10.504158,TRUE,3,8.18181818181818
2004,12.9624575,9.90139,TRUE,4,5.45454545454545
2005,13.44032,17.079729,TRUE,5,18.1818181818182
2006,13.702780125,13.519526,TRUE,6,28.1818181818182
2007,13.6456864375,11.383343,TRUE,7,24.5454545454545
2008,13.9687470625,16.085488,TRUE,8,36.3636363636364
2009,13.669745125,14.097803,TRUE,9,26.3636363636364
2010,13.8058885625,12.717412,TRUE,10,30.9090909090909
2011,13.8163255,20.137929,TRUE,11,31.8181818181818
2012,13.4008021875,7.546843,TRUE,12,16.3636363636364
2013,12.6626845625,9.851,TRUE,13,3.63636363636364
2014,12.520079625,14.413,TRUE,14,1.81818181818182
2015,12.42246775,14.268,TRUE,15,0.909090909090909
